Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",37.6800,-36.4000,0.0000,bottom
"C2","1nF","C_0402_1005Metric",42.0000,-38.4000,90.0000,bottom
"C3","100nF","C_0402_1005Metric",43.2000,-38.4000,270.0000,bottom
"C4","1uF","C_0402_1005Metric",37.8800,-33.0000,0.0000,bottom
"J2","PCB_USB_C_Receptacle","usb-c-one-sided",40.0000,-30.0000,0.0000,top
"R1","1k","R_0402_1005Metric",44.4000,-38.4000,90.0000,bottom
"R2","5.1k","R_0402_1005Metric",40.0000,-33.0000,0.0000,bottom
"RGB1","SK6805-E-J","SK6805-E-J",45.8000,-35.0000,180.0000,bottom
"RGB2","SK6805-E-J","SK6805-E-J",34.2000,-35.0000,180.0000,bottom
"RGB3","SK6805-E-J","SK6805-E-J",45.8000,-45.0000,270.0000,bottom
"RGB4","SK6805-E-J","SK6805-E-J",34.2000,-45.0000,0.0000,bottom
"RGB5","SK6805-E-J","SK6805-E-J",40.0000,-37.0000,0.0000,top
"SW1","SW_Push","Cherry_ULP_SMD",40.0000,-40.0000,0.0000,top
"U1","ATSAMD21E17D-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",41.2000,-42.8000,270.0000,bottom
"U2","LDK130PU33R_DFN6","DFN-6_1.3x1.2mm_P0.4mm",38.0000,-34.8320,0.0000,bottom
